Aachen,NW,706.95,555465,786
Bad Neuenahr-Ahrweiler,RP,786.98,129727,165
Aichach,BY,780.33,133596,171
Ulm,BW,1358.68,196047,144
Altenburg,TH,569.41,90118,158
Altenkirchen,RP,641.99,128705,200
Salzwedel,ST,2293.03,83765,37
Altotting,BY,569.35,11121,195
Alzey,RP,588.15,129244,220
Amberg,BY,1255.75,103109,82
Westerstede,NI,728.38,124071,170
Kothen,ST,1453.52,159854,110
Ansbach,BY,1971.84,183949,93
Aschaffenburg,BY,699.15,174208,249
Augsburg,BY,1071.13,251534,235
Aurich,NI,1287.31,189848,147
Bad Durkheim,RP,594.76,13266,223
Bad Kissingen,BY,1136.96,103218,91
Bad Kreuznach,RP,863.76,15808,183
Bad Tolz,BY,1110.69,127227,115
Bamberg,BY,1167.83,147086,126
Eberswalde,BB,1479.67,18276,124
Bautzen,SN,2395.61,30088,126
Bayreuth,BY,1273.74,103656,81
Bad Reichenhall,BY,839.92,105722,126
Heppenheim,HE,719.52,269694,375
Wittlich,RP,1167.56,112262,96
Biberach an der Riss,BW,1409.74,199742,142
Birkenfeld,RP,776.58,8072,104
Boblingen,BW,617.82,39164,634
Friedrichshafen,BW,664.81,216227,325
Haldensleben,ST,2366.63,171734,73
Borken,NW,1420.98,370676,261
Freiburg im Breisgau,BW,1378.34,262795,191
Naumburg,ST,1413.67,18019,127
Calw,BW,797.53,158397,199
Celle,NI,1545.21,178936,116
Cham,BY,1520.17,127882,84
Cloppenburg,NI,1418.45,169348,119
Coburg,BY,590.47,86906,147
Cochem,RP,692.33,61587,89
Coesfeld,NW,1112.04,219929,198
Cuxhaven,NI,2057.78,198213,96
Dachau,BY,579.18,153884,266
Lubben,BB,2274.48,169067,74
Darmstadt,HE,658.65,297399,452
Deggendorf,BY,861.3,119326,139
Diepholz,NI,1988.14,216886,109
Dillingen an der Donau,BY,792.22,96021,121
Dingolfing,BY,877.79,96217,110
Heide,SH,1428.13,13321,93
Donauworth,BY,1274.68,133496,105
Kirchheimbolanden,RP,645.52,75101,116
Duren,NW,941.37,263722,280
Ebersberg,BY,549.36,142142,259
Heilbad Heiligenstadt,TH,943.07,10038,106
Eichstatt,BY,1214.06,132341,109
Bitburg,RP,1626.22,98561,61
Herzberg,BB,1899.54,102638,54
Emmendingen,BW,679.9,165383,243
Meppen,NI,2882.07,325657,113
Schwelm,NW,409.64,324296,792
Pforzheim,BW,573.68,198905,347
Erding,BY,870.72,13766,158
Erlangen,BY,564.66,136271,241
Annaberg-Buchholz,SN,1827.91,337696,185
Euskirchen,NW,1248.73,19284,154
Forchheim,BY,642.79,116099,181
Freising,BY,799.83,179116,224
Freudenstadt,BW,870.67,117935,135
Freyung,BY,984.15,78355,80
Jever,NI,607.91,9846,162
Fulda,HE,1380.4,222584,161
Furstenfeldbruck,BY,434.79,21932,504
Zirndorf,BY,307.55,117387,382
Garmisch-Partenkirchen,BY,1012.22,88467,87
Germersheim,RP,463.35,129075,279
Giessen,HE,854.67,268876,315
Gifhorn,NI,1562.86,17592,113
Goppingen,BW,642.36,257253,400
Gorlitz,SN,2111.41,254894,121
Goslar,NI,965.29,137014,142
Gotha,TH,936.08,135452,145
Gottingen,NI,1753.41,328074,187
Nordhorn,NI,980.87,136511,139
Greiz,TH,845.97,98159,116
Gross-Gerau,HE,453.04,274526,606
Gunzburg,BY,762.44,125747,165
Gutersloh,NW,969.21,364083,376
Hameln,NI,796.15,148559,187
Hannover,NI,2290.86,1157624,505
Winsen,NI,1245.03,252776,203
Halberstadt,ST,2104.54,214446,102
Hassfurt,BY,956.38,84599,88
Rathenow,BB,1727.3,161909,94
Heidenheim an der Brenz,BW,627.14,132472,211
Heilbronn,BW,1099.9,343068,312
Heinsberg,NW,627.99,254322,405
Helmstedt,NI,674.02,91307,135
Herford,NW,450.41,250783,557
Bad Hersfeld,HE,1097.12,120829,110
Ratzeburg,SH,1263.01,197264,156
Hildburghausen,TH,938.42,63553,68
Hildesheim,NI,1206.03,276594,229
Meschede,NW,1960.17,260475,133
Bad Homburg vor der Hohe,HE,482.02,236564,491
Hof,BY,892.52,95311,107
Kunzelsau,BW,776.78,11201,144
Holzminden,NI,692.65,70975,102
Hoxter,NW,1201.42,140667,117
Arnstadt,TH,805.11,106622,132
Burg,ST,1576.84,89928,57
Kaiserslautern,RP,639.88,106057,166
Karlsruhe,BW,1084.96,444232,409
Kassel,HE,1292.92,236633,183
Kelheim,BY,1065.97,122258,115
Kitzingen,BY,684.19,90909,133
Kleve,NW,1232.99,310974,252
Konstanz,BW,817.97,285325,349
Kronach,BY,651.53,67135,103
Kulmbach,BY,658.34,71845,109
Kusel,RP,573.28,70526,123
Sondershausen,TH,1037.91,75009,72
Wetzlar,HE,1066.52,253777,238
Landsberg am Lech,BY,804.38,120071,149
Landshut,BY,1347.89,158698,118
Leer,NI,1086.01,169809,156
Borna,SN,1651.3,257763,156
Lichtenfels,BY,519.95,66838,129
Limburg an der Lahn,HE,738.48,172083,233
Lindau,BY,323.44,81669,252
Detmold,NW,1246.21,348391,280
Lorrach,BW,806.76,228639,283
Luchow,NI,1220.75,48424,40
Ludwigsburg,BW,686.84,543984,792
Parchim,MV,4752.44,212618,45
Luneburg,NI,1323.68,183372,139
Gelnhausen,HE,1397.55,41895,300
Karlstadt,BY,1321.42,126365,96
Tauberbischofsheim,BW,1304.4,132321,101
Hofheim am Taunus,HE,222.39,237735,1069
Ingelheim am Rhein,RP,605.77,210889,348
Sangerhausen,ST,1448.84,136249,94
