Stadt,BL,Flaeche_in_km2,Einw.,Bev-dichte(EW/km2)
Aachen,NW,160.85,247380,1538
Amberg,BY,50.14,41970,837
Ansbach,BY,99.91,41847,419
Aschaffenburg,BY,62.47,70527,1129
Augsburg,BY,146.84,295135,2010
Baden-Baden,BW,140.21,55123,393
Bamberg,BY,54.62,77592,1420
Bayreuth,BY,66.93,74657,1115
Berlin,B,891.69,3644826,3948
Bielefeld,NW,258.82,333786,1290
Bochum,NW,145.66,364628,2503
Bonn,NW,141.06,327258,2320
Bottrop,NW,100.61,117383,1167
Braunschweig,NI,192.18,248292,1292
Bremen,HB,325.56,569352,1749
Bremerhaven,HB,93.82,113634,1211
Chemnitz,SN,221.05,247237,1118
Coburg,BY,48.29,41249,854
Cottbus,BB,165.15,100219,607
Darmstadt,HE,122.09,159207,1304
Delmenhorst,NI,62.36,77607,1244
Dortmund,NW,280.71,587010,2091
Dresden,SN,328.48,554649,1689
Duisburg,NW,232.80,498590,2142
Dusseldorf,NW,217.41,619294,2848
Eisenach,TH,104.17,42370,407
Emden,NI,112.36,50195,447
Erfurt,TH,269.91,213699,792
Erlangen,BY,76.95,111962,1455
Essen,NW,210.34,583109,2772
Flensburg,SH,56.74,89504,1577
Frankenthal,RP,43.76,48561,1110
Frankfurt,BB,147.85,57873,391
Frankfurt am Main,HE,248.31,753056,3033
Freiburg,BW,153.06,230241,1504
Furth,BY,63.35,127748,2017
Gelsenkirchen,NW,104.94,260654,2484
Gera,TH,152.18,94152,619
Gottingen,NI,116.89,119801,1025
Hagen,NW,160.45,188814,1177
Halle,ST,135.02,239257,1772
Hamburg,HH,755.22,1841179,2505
Hamm,NW,226.43,179111,791
Hannover,NI,204.14,538068,2636
Heidelberg,BW,108.84,160355,1473
Heilbronn,BW,99.88,125960,1261
Herne,NW,51.42,156374,3041
Hof,BY,58.03,45930,791
Ingolstadt,BY,133.37,136981,1027
Jena,TH,114.77,111407,971
Kaiserslautern,RP,139.74,99845,715
Karlsruhe,BW,173.46,313092,1805
Kassel,HE,106.78,201585,1888
Kaufbeuren,BY,40.03,43893,1097
Kempten,BY,63.28,68907,1089
Kiel,SH,118.65,247548,2086
Koblenz,RP,105.13,114024,1085
Koln,NW,405.02,1085664,2681
Krefeld,NW,137.77,227020,1648
Landau,RP,82.96,46677,563
Landshut,BY,65.81,72404,1100
Leipzig,SN,297.80,587857,1974
Leverkusen,NW,78.87,163838,2077
Lubeck,SH,214.21,217198,1014
Ludwigshafen,RP,77.55,171061,2206
Magdeburg,ST,20100.00,238697,1188
Mainz,RP,97.74,217118,2221
Mannheim,BW,144.96,309370,2134
Memmingen,BY,70.14,43837,625
Monchengladbach,NW,170.47,261454,1534
Mulheim an der Ruhr,NW,91.28,170880,1872
Munchen,BY,310.70,1471508,4736
Munster,NW,303.28,314319,1036
Neumunster,SH,71.63,79487,1110
Neustadt,RP,117.10,53148,454
Nurnberg,BY,186.38,518365,2781
Oberhausen,NW,77.09,210829,2735
Offenbach,HE,44.89,128744,2868
Oldenburg,NI,102.99,168210,1633
Osnabruck,NI,119.80,164748,1375
Passau,BY,69.57,52469,754
Pforzheim,BW,9800.00,125542,1281
Pirmasens,RP,61.37,40403,658
Potsdam,BB,188.61,178089,944
Regensburg,BY,80.70,152610,1891
Remscheid,NW,74.52,110994,1490
Rosenheim,BY,37.22,63324,1701
Rostock,MV,181.26,208886,1152
Salzgitter,NI,223.92,104948,469
Schwabach,BY,40.82,40792,999
Schweinfurt,BY,35.70,54032,1513
Schwerin,MV,130.52,95818,734
Solingen,NW,89.54,159360,1780
Speyer,RP,42.60,50378,1183
Straubing,BY,67.58,47794,707
Stuttgart,BW,207.35,634830,3062
Suhl,TH,141.62,36955,261
Trier,RP,117.13,110636,945
Ulm,BW,118.69,126329,1064
Weimar,TH,84.48,65090,770
Wiesbaden,HE,203.93,278342,1365
Wilhelmshaven,NI,106.95,76278,713
Wolfsburg,NI,204.09,124151,608
Worms,RP,108.73,83330,766
Wuppertal,NW,168.39,354382,2105
Wurzburg,BY,87.63,127880,1459
Zweibrucken,RP,70.64,34209,484
